"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ranking_metric","GeneSymbol"
"SRPX",1184.30369615566,0.876699268893288,0.173723718520519,5.04651452524452,4.49942701070957e-07,5.71323197365648e-05,4.24311814197592,"SRPX"
"COL16A1",1085.15369360628,0.871048611479934,0.182133452419513,4.78247460808916,1.7315026516692e-06,0.000194566310471617,3.71093235647727,"COL16A1"
"BAIAP2L1",431.962126433551,0.86665020228879,0.195116135337642,4.44171467823039,8.92448476981298e-06,0.000823714945119671,3.08422305429782,"BAIAP2L1"
"IFITM3",297.776080600592,0.866087885928434,0.257867375174898,3.35865630671973,0.0007832241279055,0.0350409051276988,1.45542468427085,"IFITM3"
"CGN",258.821921713876,0.862584168709786,0.258919405805175,3.33147747665867,0.00086386290361115,0.0379529528072523,1.42075442957065,"CGN"
"CRTAC1",199.577043747747,0.854025226965518,0.240593358526007,3.54966251852376,0.000385725293614734,0.0197972605720441,1.70339490068565,"CRTAC1"
"FAM162A",1050.7248806186,0.850259358974332,0.253876171670848,3.34911052651566,0.000810714478185907,0.0359051712546569,1.44484299750456,"FAM162A"
"OCLN",147.525555528099,0.848821792858409,0.257191746937849,3.30034615404486,0.000965656417249462,0.0415118875102132,1.38182751917187,"OCLN"
"SFXN3",2536.14292165052,0.848797829254279,0.167458876464049,5.06869416048246,4.00554248399011e-07,5.17586774975357e-05,4.28601682899431,"SFXN3"
"ABCC3",914.98292671438,0.848398770688711,0.203126894151729,4.17669346164956,2.9577719103171e-05,0.0023626682019613,2.62659726362999,"ABCC3"
"SGK1",1683.14574629134,0.847020943695085,0.206991739515848,4.09205191316456,4.27572897745161e-05,0.0031731398124216,2.49851079193189,"SGK1"
"KCNAB1",218.230451067685,0.845650892600496,0.228458469061113,3.70155195417283,0.000214284766724788,0.0121007544232479,1.91718755268852,"KCNAB1"
"GOLGA7B",423.913548583465,0.84563037977967,0.204586769739385,4.13335808985539,3.57501066820242e-05,0.00274588319400009,2.56131794098133,"GOLGA7B"
"COL1A1",2281.20045916131,0.841387143791658,0.201853382571658,4.16830836854054,3.06868597856079e-05,0.00240749374610875,2.61843483235877,"COL1A1"
"KISS1R",597.555586136569,0.835419519492756,0.237116710931824,3.52324185085782,0.000426302159825115,0.0214783934515558,1.66799820626939,"KISS1R"
"JPH3",1247.72199539696,0.824829359814756,0.202163771071589,4.08000580639483,4.50345758570216e-05,0.00329758175950398,2.48180442784794,"JPH3"
"ZNF330",1454.91325220667,0.819638643345154,0.160744523354587,5.0990144251267,3.41426534805476e-07,4.54552526671024e-05,4.34241592382753,"ZNF330"
"SYBU",1548.89028102229,0.817882318622067,0.155451115402639,5.26134737923008,1.43003563962936e-07,2.08037039044624e-05,4.68185933609184,"SYBU"
"STON1",270.218692622362,0.814338658936276,0.23097013404307,3.52573142112141,0.000422315020697543,0.0213264231256619,1.67108197844884,"STON1"
"ZNF703",131.489274858684,0.813544400629811,0.246770437050869,3.29676605655202,0.000978049308794441,0.0417575103816063,1.37926540224147,"ZNF703"
"CAVIN1",1327.47609139147,0.810818991211544,0.185328953641984,4.37502600256337,1.21418003925157e-05,0.00106398517981956,2.97306442125846,"CAVIN1"
"GSN",1483.4278266245,0.810394147688491,0.203581443952049,3.98068768919515,6.87161830760895e-05,0.00474681884790081,2.32359734187723,"GSN"
"CTSC",2480.64098243378,0.808534747027843,0.152104283363978,5.31566060564555,1.06271067697045e-07,1.62915022439274e-05,4.78803886743075,"CTSC"
"DMTN",1004.79778775115,0.803210830220735,0.183638077928263,4.3738795313165,1.2205775268108e-05,0.00106398517981956,2.97306442125846,"DMTN"
"ARRDC3",1429.81202709678,0.798701545771375,0.226829382018852,3.52115558691156,0.000429670428843476,0.0215764475108397,1.66602005888587,"ARRDC3"
"PFKP",3679.13308211472,0.798348769106106,0.16213866421714,4.92386423041538,8.48517182802715e-07,0.000102979983174736,3.98724718346547,"PFKP"
